P-175,P-176,P-177,Outcome
7,6,,0
7,,,0
6,7,6,1
10,7,8,0
6,8,6,1
7,6,,0
8,9,6,0
7,7,6,0
8,7,,0
10,6,6,0
6,6,6,0
9,6,9,0
9,8,8,0
7,7,8,1
6,7,8,1
10,10,6,0
8,6,6,0
6,7,6,1
6,7,9,1
,,,0
10,7,8,0
6,6,9,1
10,8,7,0
6,7,6,1
9,7,6,0
6,6,6,0
6,8,6,1
7,,,0
8,7,8,0
6,,,0
8,6,8,0
,,,0
,,,0
10,9,,0
6,7,6,1
10,6,,0
6,7,,1
,,,0
9,6,7,0
6,6,6,0
10,8,10,0
10,6,10,0
6,,,0
7,6,8,1
7,6,9,1
10,6,7,0
9,7,6,0
,,,0
9,8,6,0
10,6,7,0
,,,0
,,,0
,,,0
8,6,6,0
,,,0
,,,0
10,6,6,0
7,,,0
10,6,7,0
8,9,7,0
6,8,7,1
6,6,9,1
10,8,7,0
8,9,9,1
,,,0
9,6,6,0
10,9,7,0
,,,0
10,6,7,0
,,,0
9,7,7,0
,,,0
6,6,,0
6,6,6,0
10,9,7,0
9,8,7,0
6,6,,0
6,,,0
6,,,0
7,,,0
9,7,6,0
8,9,6,0
6,,,0
,,,0
7,9,8,1
8,6,7,0
,,,0
7,,,0
9,6,9,0
6,,,0
9,7,6,0
10,6,7,0
6,,,0
,,,0
6,6,6,0
6,9,7,1
7,9,6,0
6,6,,0
,,,0
7,6,6,0
,,,0
6,7,7,0
,,,0
7,,,0
7,8,,1
,,,0
9,,,0
8,6,6,0
10,8,9,0
,,,0
9,6,7,0
6,,,0
10,8,6,0
8,7,8,0
,,,0
9,6,8,0
,,,0
6,7,6,1
6,,,0
,,,0
8,7,,0
,,,0
,,,0
,,,0
,,,0
9,6,7,0
9,6,6,0
10,,,0
6,,,0
7,6,6,0
6,9,,1
,,,0
7,7,,0
6,8,,1
10,,,0
6,6,9,1
,,,0
9,6,7,0
6,,,0
6,,,0
9,,,0
,,,0
6,8,,1
,,,0
,,,0
,,,0
7,,,0
6,8,,1
6,6,6,0
,,,0
10,8,6,0
,,,0
7,,,0
10,8,,0
7,7,8,1
6,6,,0
,,,0
,,,0
6,8,7,1
,,,0
7,,,0
6,6,,0
,,,0
8,8,8,0
6,6,6,0
7,6,6,0
,,,0
,,,0
,,,0
,,,0
9,6,,0
10,6,7,0
8,8,9,1
10,6,,0
8,,,0
6,7,6,1
,,,0
7,8,9,1
,,,0
,,,0
,,,0
,,,0
8,,,0
6,,,0
8,6,10,0
,,,0
6,,,0
8,,,0
7,6,9,0
,,,0
8,6,6,0
6,,,0
7,,,0
9,8,6,0
7,7,7,0
8,10,7,1
6,6,7,1
6,6,8,1
6,,,0
10,10,8,0
,,,0
6,,,0
7,6,7,1
7,8,,1
6,6,6,0
6,6,6,0
10,6,6,0
7,6,8,1
7,,,0
8,6,8,1
6,,,0
,,,0
7,,,0
7,7,6,0
6,,,0
,,,0
8,7,6,0
7,7,6,0
10,7,6,0
10,10,10,1
7,7,,0
8,8,7,0
7,6,6,0
7,8,7,1
7,7,6,0
,,,0
